BaseDateTime,MMSI,VesselName,LAT,LON,SOG,COG,Heading,image,spill_latitude,spill_longitude,spill_date,spill_category,spill_subcategory,CallSign,ShipType,Flag,IMO,Length_m,Width_m,GrossTonnage,Deadweight_t,YearBuilt,Destination,Status
2014-10-20 09:00:00,900000001,Test Vessel 01-1,36.897916,1.531313,10.95,301.29,301.29,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1000,Tanker,India,9000000,240.6,11.8,136635,43562,2004,Rotterdam,Under way using engine
2014-10-20 09:30:00,900000001,Test Vessel 01-1,36.94566,1.435033,10.87,301.8,301.8,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1000,Tanker,India,9000000,240.6,11.8,136635,43562,2004,Rotterdam,Under way using engine
2014-10-20 10:00:00,900000001,Test Vessel 01-1,36.992379,1.340513,10.66,301.74,301.74,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1000,Tanker,India,9000000,240.6,11.8,136635,43562,2004,Rotterdam,Under way using engine
2014-10-20 10:30:00,900000001,Test Vessel 01-1,37.04458,1.248046,10.85,305.25,305.25,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1000,Tanker,India,9000000,240.6,11.8,136635,43562,2004,Rotterdam,Under way using engine
2014-10-20 11:00:00,900000001,Test Vessel 01-1,37.098486,1.153423,11.13,305.52,305.52,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1000,Tanker,India,9000000,240.6,11.8,136635,43562,2004,Rotterdam,Under way using engine
2014-10-20 11:30:00,900000001,Test Vessel 01-1,37.15374,1.062771,10.92,307.39,307.39,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1000,Tanker,India,9000000,240.6,11.8,136635,43562,2004,Rotterdam,Under way using engine
2014-10-20 12:00:00,900000001,Test Vessel 01-1,37.209584,0.97582,10.68,308.86,308.86,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1000,Tanker,India,9000000,240.6,11.8,136635,43562,2004,Rotterdam,Under way using engine
2014-10-20 12:30:00,900000001,Test Vessel 01-1,37.2695,0.893362,10.67,312.38,312.38,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1000,Tanker,India,9000000,240.6,11.8,136635,43562,2004,Rotterdam,Under way using engine
2014-10-20 13:00:00,900000001,Test Vessel 01-1,37.327621,0.811206,10.5,311.64,311.64,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1000,Tanker,India,9000000,240.6,11.8,136635,43562,2004,Rotterdam,Under way using engine
2014-10-20 13:30:00,900000001,Test Vessel 01-1,37.39087,0.735795,10.46,316.53,316.53,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1000,Tanker,India,9000000,240.6,11.8,136635,43562,2004,Rotterdam,Under way using engine
2014-10-20 14:00:00,900000001,Test Vessel 01-1,37.451781,0.658629,10.37,314.81,314.81,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1000,Tanker,India,9000000,240.6,11.8,136635,43562,2004,Rotterdam,Under way using engine
2014-10-20 14:30:00,900000001,Test Vessel 01-1,37.515484,0.583649,10.46,316.94,316.94,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1000,Tanker,India,9000000,240.6,11.8,136635,43562,2004,Rotterdam,Under way using engine
2014-10-20 15:00:00,900000001,Test Vessel 01-1,37.581548,0.510202,10.57,318.59,318.59,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1000,Tanker,India,9000000,240.6,11.8,136635,43562,2004,Rotterdam,Under way using engine
2014-10-20 09:00:00,900000002,Test Vessel 01-2,36.814001,1.72252,8.62,119.76,119.76,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1001,Cargo,Singapore,9000001,114.0,18.5,30102,83993,2021,Fujairah,Under way using engine
2014-10-20 09:30:00,900000002,Test Vessel 01-2,36.779713,1.798824,8.41,119.31,119.31,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1001,Cargo,Singapore,9000001,114.0,18.5,30102,83993,2021,Fujairah,Under way using engine
2014-10-20 10:00:00,900000002,Test Vessel 01-2,36.748401,1.878951,8.57,116.01,116.01,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1001,Cargo,Singapore,9000001,114.0,18.5,30102,83993,2021,Fujairah,Under way using engine
2014-10-20 10:30:00,900000002,Test Vessel 01-2,36.713255,1.958147,8.7,118.98,118.98,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1001,Cargo,Singapore,9000001,114.0,18.5,30102,83993,2021,Fujairah,Under way using engine
2014-10-20 11:00:00,900000002,Test Vessel 01-2,36.680879,2.039797,8.76,116.32,116.32,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1001,Cargo,Singapore,9000001,114.0,18.5,30102,83993,2021,Fujairah,Under way using engine
2014-10-20 11:30:00,900000002,Test Vessel 01-2,36.647766,2.121589,8.82,116.79,116.79,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1001,Cargo,Singapore,9000001,114.0,18.5,30102,83993,2021,Fujairah,Under way using engine
2014-10-20 12:00:00,900000002,Test Vessel 01-2,36.610492,2.201187,8.87,120.27,120.27,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1001,Cargo,Singapore,9000001,114.0,18.5,30102,83993,2021,Fujairah,Under way using engine
2014-10-20 12:30:00,900000002,Test Vessel 01-2,36.570157,2.278603,8.89,122.99,122.99,oil_spill_geo_01.jpg,36.8423,1.6306,20141020,Positive,Ships,VSL1001,Cargo,Singapore,9000001,114.0,18.5,30102,83993,2021,Fujairah,Under way using engine
